teryt,powiat,%_glosy
0201,bolesławiecki,42.44305329054659
0202,dzierżoniowski,43.610103360941885
0203,głogowski,44.282172749809774
0204,górowski,48.82771924617896
0205,jaworski,47.98148148148148
0206,jeleniogórski,31.639692226054656
0207,kamiennogórski,41.21618001607286
0208,kłodzki,41.34326872484749
0209,legnicki,48.19776846820689
0210,lubański,39.76011610039269
0211,lubiński,48.96491437199507
0212,lwówecki,39.98806488363262
0213,milicki,46.22475856014047
0214,oleśnicki,40.375715247391454
0215,oławski,43.29476943131824
0216,polkowicki,54.614960485204925
0217,strzeliński,48.01553280548691
0218,średzki,44.26558531989842
0219,świdnicki,41.14214547591727
0220,trzebnicki,42.91672986500834
0221,wałbrzyski,36.68873613629655
0222,wołowski,45.68173113749521
0223,wrocławski,35.3366802553448
0224,ząbkowicki,46.738486598548796
0225,zgorzelecki,41.40271493212669
0226,złotoryjski,44.90341591181927
0261,Jelenia Góra,31.113296922320295
0262,Legnica,39.71762370878253
0264,Wrocław,28.91977925742643
0265,Wałbrzych,33.89118649152506
0401,aleksandrowski,45.409791931079575
0402,brodnicki,42.881403032080776
0403,bydgoski,32.86728724382795
0404,chełmiński,39.85916889814539
0405,golubsko-dobrzyński,49.978038871197974
0406,grudziądzki,47.75950462747187
0407,inowrocławski,37.65609050102778
0408,lipnowski,47.62193642319825
0409,mogileński,40.858497371946825
0410,nakielski,40.138282387190685
0411,radziejowski,55.69147333534197
0412,rypiński,49.81266830581899
0413,sępoleński,42.322378716744915
0414,świecki,40.5015101139565
0415,toruński,39.892611030195
0416,tucholski,48.575602629656686
0417,wąbrzeski,39.942572162611455
0418,włocławski,51.12442017497505
0419,żniński,41.886498917748916
0461,Bydgoszcz,31.935078558172243
0462,Grudziądz,34.31282287351031
0463,Toruń,31.552234034050038
0464,Włocławek,34.368517511530015
0601,bialski,60.88734989773808
0602,biłgorajski,64.99738265573198
0603,chełmski,61.191486518092816
0604,hrubieszowski,62.37783732660782
0605,janowski,77.18662195232484
0606,krasnostawski,61.289253764311745
0607,kraśnicki,62.46385056653866
0608,lubartowski,61.80745786135584
0609,lubelski,57.99630971092735
0610,łęczyński,60.12375249500999
0611,łukowski,68.02230574393333
0612,opolski,62.51995530012772
0613,parczewski,59.408743745061884
0614,puławski,53.91437308868502
0615,radzyński,64.28896300788357
0616,rycki,60.53986522298781
0617,świdnicki,56.203052342911654
0618,tomaszowski,63.253131273148796
0619,włodawski,52.84149367548267
0620,zamojski,66.96529284164859
0661,Biała Podlaska,48.12991402748181
0662,Chełm,46.16231966455831
0663,Lublin,42.520153717241186
0664,Zamość,49.1130859034675
0801,gorzowski,34.72727869067532
0802,krośnieński,31.666666666666664
0803,międzyrzecki,34.39641011258464
0804,nowosolski,37.49489670939822
0805,słubicki,32.28511530398323
0806,strzelecko-drezdenecki,39.227516501650165
0807,sulęciński,40.26991728341315
0808,świebodziński,35.173815471905826
0809,zielonogórski,33.40055611574541
0810,żagański,39.83112259365449
0811,żarski,35.31830137126222
0812,wschowski,48.17142857142857
0861,Gorzów Wielkopolski,32.574187884108866
0862,Zielona Góra,26.684469430780045
1001,bełchatowski,59.731135701389015
1002,kutnowski,52.26199752486593
1003,łaski,50.15136638847979
1004,łęczycki,57.62445571665844
1005,łowicki,56.10889951641775
1006,łódzki wschodni,44.586503516615686
1007,opoczyński,64.38860267059195
1008,pabianicki,39.13015317853558
1009,pajęczański,62.33149261003735
1010,piotrkowski,64.74341320113834
1011,poddębicki,55.950589090154146
1012,radomszczański,55.622930622930625
1013,rawski,58.00134438718351
1014,sieradzki,54.454413060285155
1015,skierniewicki,65.43007222586999
1016,tomaszowski,52.01835520183552
1017,wieluński,55.18754657613646
1018,wieruszowski,54.0996407933781
1019,zduńskowolski,47.58662190409831
1020,zgierski,40.80837362924592
1021,brzeziński,53.621925886215905
1061,Łódź,30.818224466705303
1062,Piotrków Trybunalski,43.849822537710736
1063,Skierniewice,40.64397046759639
1201,bocheński,65.0799746538912
1202,brzeski,63.62355593124824
1203,chrzanowski,44.387362772205954
1204,dąbrowski,70.18820879916352
1205,gorlicki,61.916849194489366
1206,krakowski,50.85473432393754
1207,limanowski,71.81676124681306
1208,miechowski,61.593643586833146
1209,myślenicki,62.3300939527976
1210,nowosądecki,71.84408709643635
1211,nowotarski,66.68574343406696
1212,olkuski,51.10647624434389
1213,oświęcimski,48.31911108819511
1214,proszowicki,62.55518183729241
1215,suski,62.833060053289614
1216,tarnowski,67.51611812320682
1217,tatrzański,56.03014335756969
1218,wadowicki,54.0326900714687
1219,wielicki,48.41116767319063
1261,Kraków,33.22385777009202
1262,Nowy Sącz,52.41669095501798
1263,Tarnów,44.74872215796739
1401,białobrzeski,65.40796963946869
1402,ciechanowski,54.243056590649374
1403,garwoliński,67.18839255112533
1404,gostyniński,55.655501441208635
1405,grodziski,37.93000537195837
1406,grójecki,50.56193884598481
1407,kozienicki,61.26123048543026
1408,legionowski,37.63766909142328
1409,lipski,62.33694526882463
1410,łosicki,66.55429133305239
1411,makowski,62.51247256036719
1412,miński,50.21401681192306
1413,mławski,56.50304550340379
1414,nowodworski,45.14022383146808
1415,ostrołęcki,66.61908865668427
1416,ostrowski,63.257587128148174
1417,otwocki,47.16677688931642
1418,piaseczyński,35.17244154694354
1419,płocki,56.79268799335272
1420,płoński,56.12858528474436
1421,pruszkowski,35.79479877897507
1422,przasnyski,59.73487239606817
1423,przysuski,70.35781726625672
1424,pułtuski,56.44390407512997
1425,radomski,66.02209944751381
1426,siedlecki,69.30070109658698
1427,sierpecki,58.33644162625886
1428,sochaczewski,50.54890467438279
1429,sokołowski,63.20719649096721
1430,szydłowiecki,67.1735292442622
1432,warszawski zachodni,38.591364410620244
1433,węgrowski,62.92976502977143
1434,wołomiński,48.65796126040543
1435,wyszkowski,58.59530614012297
1436,zwoleński,64.25254173465545
1437,żuromiński,57.29769226085368
1438,żyrardowski,46.979623563377935
1461,Ostrołęka,50.40450375312761
1462,Płock,40.64589485116926
1463,Radom,47.7469452566759
1464,Siedlce,49.54209365676482
1465,Warszawa,28.25562561652036
1498,statki,21.965317919075144
1499,zagranica,24.889502674528497
1601,brzeski,44.27433696744762
1602,głubczycki,54.03539059128183
1603,kędzierzyńsko-kozielski,33.16763844479673
1604,kluczborski,40.54033456540792
1605,krapkowicki,28.997792494481235
1606,namysłowski,44.225336810082574
1607,nyski,48.13047074229788
1608,oleski,41.8109610802224
1609,opolski,29.44975622111062
1610,prudnicki,45.12200833684605
1611,strzelecki,32.57328990228013
1661,Opole,26.249807721888942
1801,bieszczadzki,49.85736925515055
1802,brzozowski,75.77342802702235
1803,dębicki,65.41734679323625
1804,jarosławski,65.62877318795508
1805,jasielski,68.74758556748823
1806,kolbuszowski,72.21570926143025
1807,krośnieński,65.95959399926252
1808,leżajski,74.15698318715765
1809,lubaczowski,64.0930546190155
1810,łańcucki,68.9121540924453
1811,mielecki,62.59657026825515
1812,niżański,70.4168281596843
1813,przemyski,65.56323316728266
1814,przeworski,69.40980175900003
1815,ropczycko-sędziszowski,72.02441505595118
1816,rzeszowski,67.59206455135595
1817,sanocki,59.401573259489794
1818,stalowowolski,61.11991434689508
1819,strzyżowski,69.98343416882743
1820,tarnobrzeski,63.887701905820016
1821,leski,53.852069351230426
1861,Krosno,47.94465341214401
1862,Przemyśl,47.449611530233085
1863,Rzeszów,42.9612977702169
1864,Tarnobrzeg,45.103665309144766
2001,augustowski,55.02299481034556
2002,białostocki,53.24256642008002
2003,bielski,50.942368906014416
2004,grajewski,61.164004087999565
2005,hajnowski,29.926800204278496
2006,kolneński,68.38531021296235
2007,łomżyński,71.5281599706476
2008,moniecki,63.97743836745041
2009,sejneński,46.63833075734158
2010,siemiatycki,53.61978292491888
2011,sokólski,60.47527899165733
2012,suwalski,58.167357305173105
2013,wysokomazowiecki,72.56663897908328
2014,zambrowski,62.47900041999161
2061,Białystok,40.299556161562755
2062,Łomża,54.02762005934283
2063,Suwałki,45.57550442954829
2201,bytowski,43.71926548397136
2202,chojnicki,45.32952776336274
2203,człuchowski,37.76085982982535
2204,gdański,29.996293550778354
2205,kartuski,45.37068618027348
2206,kościerski,46.24525148153776
2207,kwidzyński,39.30579320459545
2208,lęborski,34.83339783962563
2209,malborski,33.73416767189385
2210,nowodworski,34.238201656369135
2211,pucki,36.893529383591165
2212,słupski,37.28541882109617
2213,starogardzki,47.82762934334099
2214,tczewski,40.725931757442666
2215,wejherowski,36.62624145331137
2216,sztumski,39.51894563426689
2261,Gdańsk,26.68617886178862
2262,Gdynia,25.84834179331982
2263,Słupsk,33.23555156017128
2264,Sopot,25.08060487716271
2401,będziński,34.013853938360796
2402,bielski,45.694416519815974
2403,cieszyński,41.483791528095836
2404,częstochowski,49.59682364483689
2405,gliwicki,43.18373098980251
2406,kłobucki,47.3031960262907
2407,lubliniecki,49.315150606923424
2408,mikołowski,42.33476570493145
2409,myszkowski,48.749543629061705
2410,pszczyński,53.210826468724534
2411,raciborski,45.80378107525841
2412,rybnicki,53.41795254687241
2413,tarnogórski,41.92192012449685
2414,bieruńsko-lędziński,56.895546947310685
2415,wodzisławski,51.87110473774199
2416,zawierciański,46.26478970550134
2417,żywiecki,58.13047450158525
2461,Bielsko-Biała,39.35075397410731
2462,Bytom,39.00223335546569
2463,Chorzów,33.28291422449109
2464,Częstochowa,37.37432635391819
2465,Dąbrowa Górnicza,35.58807242461363
2466,Gliwice,31.702101317966434
2467,Jastrzębie-Zdrój,53.33317166622208
2468,Jaworzno,40.72198176627682
2469,Katowice,33.83242361297679
2470,Mysłowice,43.38973491257755
2471,Piekary Śląskie,43.99473765670949
2472,Ruda Śląska,44.2568866111467
2473,Rybnik,45.525195830506384
2474,Siemianowice Śląskie,35.44447600113604
2475,Sosnowiec,33.53215432485362
2476,Świętochłowice,40.01819661925968
2477,Tychy,40.634091406763226
2478,Zabrze,36.21801508652566
2479,Żory,45.34626038781163
2601,buski,59.49439213099023
2602,jędrzejowski,63.34215190198547
2603,kazimierski,59.063848787021875
2604,kielecki,61.703880779207566
2605,konecki,60.562838376343194
2606,opatowski,64.40516655336506
2607,ostrowiecki,49.48545861297539
2608,pińczowski,60.14054489948736
2609,sandomierski,53.66442953020134
2610,skarżyski,48.23098233868175
2611,starachowicki,53.7795105046567
2612,staszowski,65.25426380848067
2613,włoszczowski,63.739015402059906
2661,Kielce,39.94315348558891
2801,bartoszycki,41.53706642484698
2802,braniewski,38.033643430610425
2803,działdowski,48.218388566532965
2804,elbląski,41.55937052932761
2805,ełcki,43.34178437764095
2806,giżycki,37.014218009478675
2807,iławski,43.910375112427914
2808,kętrzyński,39.47190821663574
2809,lidzbarski,39.12640553564809
2810,mrągowski,38.55950812472552
2811,nidzicki,51.744233104006476
2812,nowomiejski,49.08262044124269
2813,olecki,47.27961149065767
2814,olsztyński,35.005334146155604
2815,ostródzki,37.63701311411235
2816,piski,51.96806012212306
2817,szczycieński,45.33003477824388
2818,gołdapski,40.73231278444352
2819,węgorzewski,39.58545701664968
2861,Elbląg,35.72026100050192
2862,Olsztyn,31.106664970451153
3001,chodzieski,31.201870187018706
3002,czarnkowsko-trzcianecki,37.88087541730698
3003,gnieźnieński,38.2356409954004
3004,gostyński,45.155591371187704
3005,grodziski,41.2038061518035
3006,jarociński,47.918886729768694
3007,kaliski,55.2539733676976
3008,kępiński,43.261099365750525
3009,kolski,58.172594197537386
3010,koniński,59.12355295126483
3011,kościański,38.62994741212289
3012,krotoszyński,44.94481758735983
3013,leszczyński,40.81753088362577
3014,międzychodzki,32.48953059566223
3015,nowotomyski,33.81253594019552
3016,obornicki,32.984312984312986
3017,ostrowski,43.23417638579479
3018,ostrzeszowski,44.445782648841785
3019,pilski,36.26352395672334
3020,pleszewski,46.69502734779966
3021,poznański,27.086843533141046
3022,rawicki,40.714063230026476
3023,słupecki,50.238259933902086
3024,szamotulski,33.14060569323666
3025,średzki,38.017937884515604
3026,śremski,38.5605511240029
3027,turecki,56.649730239379814
3028,wągrowiecki,36.657317274377164
3029,wolsztyński,37.314687452239035
3030,wrzesiński,41.284378285651044
3031,złotowski,37.89652969980839
3061,Kalisz,34.68060767825965
3062,Konin,42.21881082266509
3063,Leszno,28.11257853570971
3064,Poznań,24.113985382278067
3201,białogardzki,37.111861404771126
3202,choszczeński,40.94421569180439
3203,drawski,38.38447088290545
3204,goleniowski,36.60584154375328
3205,gryficki,37.61284686108915
3206,gryfiński,42.53966294215692
3207,kamieński,36.177508323808574
3208,kołobrzeski,36.34199411237681
3209,koszaliński,37.17766569581587
3210,myśliborski,38.43807438113488
3211,policki,29.901205715196262
3212,pyrzycki,48.46188718347258
3213,sławieński,39.804945410607175
3214,stargardzki,37.84494594960453
3215,szczecinecki,41.49292567897219
3216,świdwiński,41.583342489836284
3217,wałecki,35.85828297273608
3218,łobeski,40.570142535633906
3261,Koszalin,29.586418225766543
3262,Szczecin,32.125118560749
3263,Świnoujście,30.177276390008057
