teryt,municipality,%_vaccinated
1405021,Podkowa Leśna,69.0608
3024083,gm.m-w. Wronki,68.4922
3208072,gm.w Ustronie Morskie,67.6804
1465011,M. St. Warszawa,67.3534
1421062,gm.w Raszyn,67.3479
3064011,Poznań,66.7034
264011,Wrocław,65.009
1421042,gm.w Michałowice,64.8549
1418023,gm.m-w. Konstancin-Jeziorna,64.181
1261011,Kraków,63.9227
1418043,gm.m-w. Piaseczno,63.7171
1418032,gm.w Lesznowola,63.3923
3021021,Puszczykowo,63.2794
2261011,Gdańsk,63.2481
3011011,Kościan,63.1388
3021152,gm.w Suchy Las,62.8619
411011,Radziejów,62.7387
1432053,gm.m-w. Łomianki,62.5916
1421011,Piastów,62.321
3021011,Luboń,62.1771
2210011,Krynica Morska,61.7829
3024011,Obrzycko,61.4675
3021172,gm.w Tarnowo Podgórne,61.4674
1421021,Pruszków,61.3193
1432013,gm.m-w. Błonie,61.2911
3002011,Czarnków,60.8945
3021143,gm.m-w. Stęszew,60.8463
2262011,Gdynia,60.8089
3021163,gm.m-w. Swarzędz,60.6712
2264011,Sopot,60.6643
1432022,gm.w Izabelin,60.6629
1408011,Legionowo,60.541
1421033,gm.m-w. Brwinów,60.5289
3021042,gm.w Czerwonak,60.3528
223052,gm.w Kobierzyce,60.2555
3205072,gm.w Rewal,60.2025
1421052,gm.w Nadarzyn,60.1059
1206172,gm.w Zielonki,60.0971
3021132,gm.w Rokietnica,59.8624
2401042,gm.w Bobrowniki,59.8004
2469011,Katowice,59.5964
1206082,gm.w Michałowice,59.5472
3021052,gm.w Dopiewo,59.5029
3024073,gm.m-w. Szamotuły,59.411
403062,gm.w Osielsko,59.2038
3021123,gm.m-w. Pobiedziska,59.1636
1061011,Łódź,59.1589
1432072,gm.w Stare Babice,58.9697
1432063,gm.m-w. Ożarów Mazowiecki,58.8811
1408022,gm.w Jabłonna,58.8724
1417011,Józefów,58.7387
1002011,Kutno,58.698
1408032,gm.w Nieporęt,58.6012
3021072,gm.w Komorniki,58.5849
3001011,Chodzież,58.577
1417043,gm.m-w. Karczew,58.5625
2401062,gm.w Psary,58.5507
401021,Ciechocinek,58.5343
1206152,gm.w Wielka Wieś,58.5245
2401031,Wojkowice,58.5108
1405011,Milanówek,58.4901
1412151,Sulejówek,58.4382
3021033,gm.m-w. Buk,58.4234
3207013,gm.m-w. Dziwnów,58.4158
1432042,gm.w Leszno,58.4063
1434041,Zielonka,58.3438
1414011,Nowy Dwór Mazowiecki,58.3354
2204011,Pruszcz Gdański,58.3349
1213082,gm.w Przeciszów,58.3321
3021083,gm.m-w. Kostrzyn,57.9674
3023011,Słupca,57.9623
461011,Bydgoszcz,57.8469
1004011,Łęczyca,57.8123
1020011,Głowno,57.811
3025043,gm.m-w. Środa Wielkopolska,57.7873
463011,Toruń,57.7777
2212011,Ustka,57.7143
3021113,gm.m-w. Murowana Goślina,57.6496
3024053,gm.m-w. Ostroróg,57.6151
3021103,gm.m-w. Mosina,57.5503
1206103,gm.m-w. Skała,57.5192
3211012,gm.w Dobra (Szczecińska),57.4678
2208021,Łeba,57.4414
2475011,Sosnowiec,57.4292
3021093,gm.m-w. Kórnik,57.3263
1005011,Łowicz,57.32
3014012,gm.w Chrzypsko Wielkie,57.2293
1206162,gm.w Zabierzów,57.203
223022,gm.w Długołęka,57.162
1020031,Zgierz,57.1103
3262011,Szczecin,57.0976
223083,gm.m-w. Siechnice,57.0831
862011,Zielona Góra,57.0302
1208042,gm.w Książ Wielki,56.9185
3024032,gm.w Kaźmierz,56.8665
2401021,Czeladź,56.7802
2211031,Puck,56.7735
3014043,gm.m-w. Sieraków,56.7643
2204032,gm.w Kolbudy,56.741
411022,gm.w Bytoń,56.7282
2408021,Mikołów,56.7154
1206092,gm.w Mogilany,56.708
2416011,Poręba,56.6718
407011,Inowrocław,56.5896
1418013,gm.m-w. Góra Kalwaria,56.5893
1418052,gm.w Prażmów,56.5784
1063011,Skierniewice,56.5649
1417021,Otwock,56.4953
1412011,Mińsk Mazowiecki,56.4742
1213011,Oświęcim,56.4535
206011,Karpacz,56.3405
1414052,gm.w Pomiechówek,56.2734
2465011,Dąbrowa Górnicza,56.2565
221031,Szczawno-Zdrój,56.2523
1408043,gm.m-w. Serock,56.1739
2211043,gm.m-w. Władysławowo,56.1695
1215021,Sucha Beskidzka,56.1256
2609093,gm.m-w. Zawichost,56.0998
2401011,Będzin,56.0474
1434031,Ząbki,56.0032
1462011,Płock,55.9805
1661011,Opole,55.9516
3208011,Kołobrzeg,55.8964
401011,Aleksandrów Kujawski,55.8882
2405032,gm.w Gierałtowice,55.8358
418011,Kowal,55.7958
412011,Rypin,55.7722
2477011,Tychy,55.7645
2862011,Olsztyn,55.7446
3005012,gm.w Granowo,55.7303
3003011,Gniezno,55.7259
2401073,gm.m-w. Siewierz,55.7197
403012,gm.w Białe Błota,55.7054
3030033,gm.m-w. Nekla,55.7043
2402022,gm.w Bestwina,55.6987
2803011,Działdowo,55.6775
403083,gm.m-w. Solec Kujawski,55.6595
2602023,gm.m-w. Jędrzejów,55.645
1213072,gm.w Polanka Wielka,55.5118
811011,Łęknica,55.5092
223043,gm.m-w. Kąty Wrocławskie,55.4971
2211052,gm.w Kosakowo,55.4967
2466011,Gliwice,55.4728
223012,gm.w Czernica,55.4711
1213062,gm.w Oświęcim,55.376
1405043,gm.m-w. Grodzisk Mazowiecki,55.3736
407063,gm.m-w. Kruszwica,55.3703
2401052,gm.w Mierzęcice,55.3588
2203011,Człuchów,55.3528
1005092,gm.w Nieborów,55.3276
1203033,gm.m-w. Chrzanów,55.3183
2413072,gm.w Świerklaniec,55.3059
3016013,gm.m-w. Oborniki,55.2933
2461011,Bielsko-Biała,55.2788
3011023,gm.m-w. Czempiń,55.2771
402011,Brodnica,55.2315
3021062,gm.w Kleszczewo,55.1964
223092,gm.w Żórawina,55.1552
2474011,Siemianowice Śląskie,55.1215
1206113,gm.m-w. Skawina,55.0982
1418063,gm.m-w. Tarczyn,55.0888
2263011,Słupsk,55.0223
1008011,Konstantynów Łódzki,54.9441
809072,gm.w Świdnica,54.9439
2801011,Bartoszyce,54.9295
3207043,gm.m-w. Międzyzdroje,54.9234
2661011,Kielce,54.8965
2209011,Malbork,54.8883
1212053,gm.m-w. Olkusz,54.8728
805053,gm.m-w. Słubice,54.8672
3004063,gm.m-w. Pogorzela,54.8604
807043,gm.m-w. Sulęcin,54.8391
1014011,Sieradz,54.8297
2807011,Iława,54.8244
3062011,Konin,54.8022
208051,Polanica-Zdrój,54.8009
1206032,gm.w Iwanowice,54.726
214011,Oleśnica,54.6986
3263011,Świnoujście,54.6986
3028011,Wągrowiec,54.696
2413031,Radzionków,54.6649
215011,Oława,54.5652
3027011,Turek,54.5592
2204042,gm.w Pruszcz Gdański,54.5582
2413062,gm.w Ożarowice,54.547
2416021,Zawiercie,54.5469
