teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
0201,bolesławiecki,89762,41403,46.125309150865625
0202,dzierżoniowski,99935,46422,46.45219392605193
0203,głogowski,88447,46939,53.07020023290784
0204,górowski,34552,15726,45.514007872192636
0205,jaworski,49734,23949,48.154180238870794
0206,karkonoski,63333,30998,48.944468128779626
0207,kamiennogórski,42824,22696,52.99831869979451
0208,kłodzki,156283,75623,48.388500348726346
0209,legnicki,55110,26654,48.36508800580657
0210,lubański,53852,26784,49.736314343014186
0211,lubiński,105896,54361,51.334328019944095
0212,lwówecki,45599,21813,47.836575363494816
0213,milicki,36800,18892,51.33695652173913
0214,oleśnicki,107268,55038,51.308871238393564
0215,oławski,76733,41065,53.51673986420445
0216,polkowicki,62997,29014,46.05616140451133
0217,strzeliński,43221,22251,51.48191851183452
0218,średzki,55508,28263,50.91698493910788
0219,świdnicki,156015,80314,51.47838348876711
0220,trzebnicki,85226,45175,53.00612489146504
0221,wałbrzyski,55107,27477,49.86117916054222
0222,wołowski,46623,22666,48.61549020869528
0223,wrocławski,156322,90501,57.89396246209747
0224,ząbkowicki,64080,30650,47.83083645443196
0225,zgorzelecki,88386,41978,47.493947005181816
0226,złotoryjski,43038,21736,50.50420558576142
0261,Jelenia Góra,78335,43656,55.72987808770026
0262,Legnica,98436,51469,52.286765004673086
0264,Wrocław,641928,430158,67.01031891427075
0265,Wałbrzych,109971,58567,53.256767693300965
0401,aleksandrowski,54891,30036,54.719352899382415
0402,brodnicki,79023,40385,51.10537438467282
0403,bydgoski,120432,66829,55.49106549754218
0404,chełmiński,51657,27004,52.27558704531816
0405,golubsko-dobrzyński,44855,23127,51.55946940140452
0406,grudziądzki,40305,19810,49.150229500062025
0407,inowrocławski,158496,88413,55.78248031496062
0408,lipnowski,65450,30973,47.3231474407945
0409,mogileński,45482,22630,49.75594740776571
0410,nakielski,86119,44699,51.90376107479185
0411,radziejowski,40025,22349,55.837601499063084
0412,rypiński,43390,22548,51.96589075823923
0413,sępoleński,40826,20890,51.16837309557635
0414,świecki,98703,49663,50.315593244379606
0415,toruński,109565,57463,52.44649294939078
0416,tucholski,48322,23607,48.85352427465751
0417,wąbrzeski,34040,17245,50.66098707403055
0418,włocławski,85646,42686,49.84003923125424
0419,żniński,69886,35936,51.42088544200555
0461,Bydgoszcz,344091,204768,59.509838967017444
0462,Grudziądz,93564,51593,55.141934932238904
0463,Toruń,198613,118087,59.45582615438063
0464,Włocławek,108561,56431,51.98091395620895
0601,bialski,109958,45045,40.96564142672657
0602,biłgorajski,100333,38245,38.11806683743135
0603,chełmski,77502,30245,39.024799360016516
0604,hrubieszowski,62009,29130,46.97705171829896
0605,janowski,45142,17473,38.70674759647335
0606,krasnostawski,62552,27954,44.689218570149635
0607,kraśnicki,94531,38393,40.614190054056344
0608,lubartowski,87850,33141,37.72453044963005
0609,lubelski,156493,70478,45.03588019911434
0610,łęczyński,57218,22157,38.72382816596176
0611,łukowski,106213,39558,37.244028508751285
0612,opolski,58706,25654,43.6991108234252
0613,parczewski,34372,14298,41.5978121726987
0614,puławski,112384,57661,51.307125569476085
0615,radzyński,58298,21582,37.02013791210676
0616,rycki,55530,26916,48.47109670448406
0617,świdnicki,71432,34151,47.80910516295218
0618,tomaszowski,81944,35314,43.09528458459436
0619,włodawski,37989,17808,46.8767274737424
0620,zamojski,105354,43274,41.07485240237675
0661,Biała Podlaska,56942,27204,47.77492887499561
0662,Chełm,61135,30039,49.13551975136992
0663,Lublin,338586,187316,55.323019853154
0664,Zamość,62785,30433,48.47176873457036
0801,gorzowski,72291,36643,50.68819078446833
0802,krośnieński,54598,28519,52.234514084765
0803,międzyrzecki,57100,31027,54.338003502626975
0804,nowosolski,85733,43837,51.132002846045275
0805,słubicki,46944,25414,54.13684389911384
0806,strzelecko-drezdenecki,48621,25204,51.83768330556755
0807,sulęciński,35000,18038,51.53714285714286
0808,świebodziński,55520,29467,53.07456772334294
0809,zielonogórski,75673,40531,53.56071518242966
0810,żagański,78148,39626,50.70635204995649
0811,żarski,95423,49387,51.75586598618782
0812,wschowski,38613,17972,46.5439100820967
0861,Gorzów Wielkopolski,122589,68952,56.246482147664146
0862,Zielona Góra,140892,83025,58.928115152031346
1001,bełchatowski,112443,50426,44.845832999831025
1002,kutnowski,95516,52504,54.96880103856946
1003,łaski,49736,24423,49.10527585652244
1004,łęczycki,49286,25529,51.797670738140646
1005,łowicki,77614,41875,53.95289509624553
1006,łódzki wschodni,72565,38456,52.99524564183835
1007,opoczyński,75524,36290,48.05095069117102
1008,pabianicki,118941,64805,54.48499676310104
1009,pajęczański,50952,23305,45.73912702151044
1010,piotrkowski,91208,43735,47.95083764582054
1011,poddębicki,40906,20939,51.188089766782376
1012,radomszczański,111696,55564,49.74573843288927
1013,rawski,48385,22565,46.636354242017156
1014,sieradzki,116918,57490,49.171214013240046
1015,skierniewicki,38173,17771,46.55384695989312
1016,tomaszowski,115735,57153,49.3826413790124
1017,wieluński,75736,38725,51.131562268934196
1018,wieruszowski,41984,20600,49.06631097560975
1019,zduńskowolski,66064,32299,48.89046984742068
1020,zgierski,165850,91572,55.21374736207416
1021,brzeziński,30648,14917,48.672017749934746
1061,Łódź,672185,411310,61.189999776847145
1062,Piotrków Trybunalski,72250,40043,55.42283737024222
1063,Skierniewice,47655,27785,58.30448011751128
1201,bocheński,106947,50263,46.99804576098441
1202,brzeski,93035,37867,40.70188638684366
1203,chrzanowski,123664,67715,54.75724543925475
1204,dąbrowski,58977,20397,34.58466859962358
1205,gorlicki,108487,41759,38.492169568704085
1206,krakowski,281440,159226,56.575469016486636
1207,limanowski,132148,48114,36.409177588764116
1208,miechowski,48464,26849,55.39988445031363
1209,myślenicki,127972,59016,46.11633794892633
1210,nowosądecki,217071,83640,38.53117182857222
1211,nowotarski,191646,65619,34.23969193199962
1212,olkuski,110471,60784,55.022585112835046
1213,oświęcimski,152687,84950,55.636694676036605
1214,proszowicki,43057,21823,50.68397705367303
1215,suski,83761,40927,48.86164205298408
1216,tarnowski,201230,77726,38.62545346121354
1217,tatrzański,68049,24341,35.76981292891887
1218,wadowicki,159662,78989,49.4726359434305
1219,wielicki,130651,69605,53.27552027921715
1261,Kraków,779966,512672,65.73004464297162
1262,Nowy Sącz,83558,38949,46.61313099882716
1263,Tarnów,107498,54008,50.24093471506447
1401,białobrzeski,33329,16093,48.28527708602118
1402,ciechanowski,88891,46048,51.802769684219996
1403,garwoliński,108634,51033,46.97700535743874
1404,gostyniński,44581,21468,48.15504362845158
1405,grodziski,97462,55493,56.938088690977
1406,grójecki,97979,50354,51.39264536278182
1407,kozienicki,59592,28233,47.37716472009666
1408,legionowski,119882,72684,60.629619125473376
1409,lipski,33598,14737,43.86272992440026
1410,łosicki,30556,12211,39.962691451760705
1411,makowski,44438,21820,49.10211980737207
1412,miński,154951,82248,53.08000593736084
1413,mławski,72269,35591,49.247948636344766
1414,nowodworski,79265,44405,56.02094240837696
