wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2713;2625;71,376;69,0608
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13469;13069;70,5885;68,4922
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2516;2448;69,5604;67,6804
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1243373;1208431;69,3009;67,3534
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15256;14797;69,437;67,3479
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;364988;354894;68,6006;66,7034
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;428601;417311;66,7678;65,009
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12243;11908;66,6794;64,8549
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16330;15802;66,3255;64,181
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;510625;498575;65,4676;63,9227
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56545;54935;65,5845;63,7171
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19497;18870;65,4987;63,3923
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6219;6059;64,9504;63,2794
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;306178;297775;65,0329;63,2481
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15280;14974;64,4291;63,1388
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11953;11637;64,5689;62,8619
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3562;3450;64,7754;62,7387
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17848;17341;64,4216;62,5916
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14528;14059;64,4;62,321
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20529;19906;64,1231;62,1771
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;814;797;63,1008;61,7829
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1520;1466;63,7317;61,4675
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18356;17769;63,498;61,4674
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39791;38400;63,5406;61,3193
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13643;13245;63,1328;61,2911
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6589;6372;62,9683;60,8945
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9510;9203;62,876;60,8463
